region,price,garage,bedrooms,bathrooms,datebuilt,floorarea,detached,fireplace,agelessthan15,age65andover,nonwhite,unemploy,ownocc,carsperhh,manuf
1,31500,0,2,1,1924,81.9,0,1,19.79,17.52,0.478,5.11,54.919,0.374,24.328
6,50500,1,2,1,1969,75,0,0,26.77,12.12,1.127,2.36,60.378,0.782,31.077
5,50500,1,2,1,1961,95.9,0,0,19.69,15.75,0.134,10.08,60.267,0.945,21.128
5,55000,1,3,1,1962,86.5,0,0,22.49,18.55,0.343,10.08,54.104,0.759,16.707
6,28000,0,4,1,1901,94.9,0,1,21.02,18.18,0.112,0.86,59.669,0.782,20.978
5,41800,0,3,1,1975,124.9,0,1,19.29,17.35,0.168,5.08,52.313,0.666,14.53
6,55000,1,2,1,1972,90.3,0,0,20.49,17.75,0.586,5.08,53.949,0.693,25.211
5,29450,0,2,1,1901,119.5,0,0,18.53,19.32,0.809,4.82,61.235,0.986,10.886
2,32500,0,2,1,1937,80.6,0,0,14.17,17.42,5.652,5.52,60.857,1.12,12.83
2,49250,1,3,1,1969,102.7,0,0,24.85,16.57,0.905,7.26,58.352,0.463,15.795
5,57500,0,2,1,1942,100.3,0,0,18.92,18.06,1.262,0,56.281,0.737,6.287
5,64000,1,4,1,1930,174.2,0,0,20.18,19.29,0.814,8.96,61.027,0.698,21.888
5,36450,0,3,1,1950,81.5,0,1,16.92,19.26,1.305,3.89,54.07,0.795,12.016
5,58500,1,3,1,1989,90.6,1,0,25.62,18.02,0.28,7.21,54.918,0.207,25.851
6,37000,1,3,1,1965,118.6,0,1,25.95,11,1.047,2.12,57.542,0.831,29.454
5,32750,1,2,1,1893,82,0,0,19.36,16.6,6.869,12.45,51.852,0.754,13.909
5,65500,1,3,1,1959,111.2,0,0,20.13,17.32,1.287,9.82,55.157,0.635,24.729
6,114500,1,3,1,1901,202,0,0,18.58,18.09,0.71,5.96,57.884,0.684,19.852
6,54000,0,3,1,1921,151.6,0,0,20.12,18.46,0.931,1.89,55.832,0.955,7.76
5,60000,1,3,1,1951,139.4,0,0,19.25,20.3,0.58,3.21,52.157,0.308,18.583
4,39000,0,4,1,1953,91.6,0,0,17.78,18.4,0.651,4.59,53.667,1.009,5.691
1,45300,1,3,1,1973,101.5,0,0,23.02,17.06,0.935,8.46,57.645,0.696,12.349
5,71500,1,4,1,1953,144.8,0,0,19.33,19.32,1.124,5.82,57.353,0.579,20.284
5,24600,0,3,1,1963,98.5,0,0,24.04,17.56,1.032,8.69,56.348,0.706,14.076
