"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"53","RT @KenNapzok: Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pentos to live…",FALSE,0,NA,2019-03-11 01:29:10,FALSE,NA,"1104917147120218115",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","MikeyBThatsMe",6,TRUE,FALSE,NA,NA
"54","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:28:51,FALSE,NA,"1104917064429514752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TomasDeBonis",103,TRUE,FALSE,NA,NA
"55","Vi el capítulo de ""Hold the door"" de Game of Thrones casi lloro...otra vez #GameOfThones https://t.co/3U4hIcvI2R",FALSE,11,NA,2019-03-11 01:28:33,FALSE,NA,"1104916989477154816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoyaque",0,FALSE,FALSE,NA,NA
"56","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 01:27:38,FALSE,NA,"1104916758014509056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","triqvitran",53,TRUE,FALSE,NA,NA
"57","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 01:26:38,FALSE,NA,"1104916507547582464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iruka_forever",53,TRUE,FALSE,NA,NA
"58","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:26:17,FALSE,NA,"1104916421807665154",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrandonNewman01",103,TRUE,FALSE,NA,NA
"59","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:25:13,FALSE,NA,"1104916150431989760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JanaLee21",103,TRUE,FALSE,NA,NA
"60","Forget #GameOfThones check out the #Moomba #dragon @abcmelbourne https://t.co/qaNwRv1Neg",FALSE,2,NA,2019-03-11 01:24:11,FALSE,NA,"1104915891945332736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Isk137",1,FALSE,FALSE,NA,NA
"61","I’m 99.999999999999% sure this was a joke. But now that I’ve read the quote, I’m holding you to it @DB__Weiss… https://t.co/INEdOg7zam",FALSE,0,NA,2019-03-11 01:23:24,TRUE,NA,"1104915694079148037",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ljmilman",0,FALSE,FALSE,NA,NA
"62","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 01:23:22,FALSE,NA,"1104915684989890561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aypuntitos",53,TRUE,FALSE,NA,NA
"63","Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pento… https://t.co/P8LgtNAC5r",FALSE,161,NA,2019-03-11 01:23:11,TRUE,NA,"1104915638940651525",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KenNapzok",6,FALSE,FALSE,NA,NA
"64","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:20:36,FALSE,NA,"1104914991348539392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nearnearnear_",103,TRUE,FALSE,NA,NA
